지점명,위도,경도,구분
나이스파크 둔산코어타워 주차장,36.3510319,127.375191,일반
대전시청 공영 주차장,36.3504726,127.3848245,공영
둔산주차타워,36.3501781,127.376778,일반
갤러리아 옆 노상 공영 주차장,36.3535009,127.378424,공영
형성주차빌딩,36.3506198,127.3881168,일반
서통주차빌딩주차장,36.3547427,127.378265,일반
둔산유료주차장,36.3502932,127.3886072,민영
반석주차장,36.3491101,127.3779809,민영
명동프라자 주차장,36.3527057,127.3798474,일반
솔샘파킹프라자,36.354108,127.3805944,민영
시청북1.2길 노상 공영 주차장,36.3535556,127.3848589,공영
을지병원 주변 노상 공영 주차장,36.3531696,127.381959,공영
캠코캐피탈타워 주차장,36.358289,127.388023,일반
블랙주차타워,36.3525873,127.3805108,일반
둔지미5․6길 노상 공영 주차장,36.3524272,127.3774994,공영
NJ타워 주차장,36.3519328,127.3794995,민영
법원 앞 노상 공영 주차장,36.3525547,127.3876973,공영
하이그린파킹 대전둔산점 민영 주차장,36.349363,127.376791,민영
형성주차빌딩,36.3505942,127.3881108,민영
대덕프라자 주차장,36.3509699,127.3881342,민영
상공회의소길 노상 공영 주차장,36.3470792,127.3784392,공영
계룡로 주변 노상 공영 주차장,36.3503187,127.374501,공영
GS타임즈 둔산동주차장,36.359038,127.3816359,민영
향촌아파트파랑새아파트 노상 공영 주차장,36.3540098,127.3766191,공영
화신빌딩주차장,36.3506921,127.3817033,일반
둔산지하차도 옆 노상 공영 주차장,36.3503318,127.3744972,공영
파이낸스타워 민영 주차장,36.3510023,127.387264,민영
사학연금회관 주차장,36.3583221,127.3888155,민영
현대아이텔 주차장,36.3516009,127.388764,민영
수정,36.35029,127.37577,민영
둔산3동 상인회 공영 주차장,36.3493326,127.399891,공영
둔산주차장,36.3540837,127.3822532,민영
둔지미 5 6길 노상 공영 주차장,36.3537175,127.3775086,공영
대영프라자주차장,36.3554272,127.3783785,일반
만금플라자 주차장,36.3589924,127.388141,민영
을지로병원 주변 노상 공영 주차장,36.3536952,127.3803243,공영
한화생명둔산사옥 주차장,36.3552432,127.3809549,일반
대덕대로 노상 공영 주차장,36.3465134,127.3789763,공영
넥서스밸리 B동 민영주차장,36.3549113,127.3799642,민영
검찰청 앞 노상 공영 주차장,36.352542,127.3895006,공영
둔산종합시장타운 주차장,36.3509415,127.3991414,일반
메트로팰리스 주차장,36.3526116,127.3872618,민영
KTG 서대전 민영 주차장,36.3589912,127.3898469,민영
더리치빌 주차장,36.3502873,127.3872555,민영
둔지미길주차장,36.3562978,127.375439,일반
주은오피스텔빌딩주차장,36.3591538,127.3874251,민영
갤러리아백화점 타임월드주차빌딩,36.3519375,127.3781875,일반
청명씨앤아이,36.3509516,127.3881494,민영
SC 제일은행 둔산 주차장,36.3538018,127.3826398,민영
대전광역시청주차장,36.3503816,127.3847379,공영
파크존대덕,36.3509516,127.3881494,일반
대전지방법원주차장,36.3544618,127.3883135,일반
이마트 둔산점주차빌딩,36.3563,127.3781588,일반
서구청주차장,36.354983,127.3837992,일반
대전광역시 교육청주차장,36.352413,127.3838718,일반
정부대전청사1동주차장,36.3612482,127.3848091,일반
대전을지대학교병원지하주차장,36.355327,127.3820082,일반
신용보즘기금 대전중앙지점주차장,36.3507103,127.3822408,일반
을지병원주변노상주차장,36.351861,127.3801305,일반
호텔락희 대전둔산점전용주차장,36.3522644,127.3809272,일반
서대전세무서주차장,36.3533098,127.3833534,일반
대전고등법원주차장,36.3544618,127.3883135,일반
서울여성병원제2주차장,36.3460082,127.3801067,일반
정부대전청사지하주차장,36.3612482,127.3848091,일반
특허법원주차장,36.3533141,127.3856928,일반
서울여성병원전용주차장,36.3454084,127.380582,일반
대전지방검찰청주차장,36.3544618,127.3883135,일반
LG전자베스트샵 둔산중앙본점주차장,36.353323,127.3799785,일반
충청지방우정청주차장,36.3518899,127.3858937,일반
코보스모텔주차장,36.3526586,127.3816917,일반
대전고용노동청주차장,36.3542843,127.3841056,일반
대전경찰청주차장,36.3546695,127.3859231,일반
짬뽕지존 대전둔산점주차장,36.3477323,127.3821864,일반
리더스모텔전용주차장,36.3528767,127.3816922,일반
수모텔전용주차장,36.3530948,127.3813318,일반
명제한의원전용주차장,36.3510422,127.3967687,일반
